first_name,second_name,id,minutes,xG,xA,xGC,total_points,xPoints,total_points_Home/Away,xPoints_Home/Away,goal_scored,assists,clean_sheets,goals_conceded,bonus,form,diff,team_against,Home/Away
Rodrigo,Hernandez,315,394,0.48000000000000004,0.25,1.55,11,12.600000000000001,10,14.559999999999999,0,1,1,3,0,2.0,265,Fulham,Away
Neeskens,Kebano,204,326,0.17,0.29000000000000004,6.09,17,10.27,12,8.2,0,2,2,5,0,0.4,-120,Liverpool,Away
Ayoze,Pérez,260,290,0.9299999999999999,0.53,5.029999999999999,11,13.57,10,11.120000000000001,0,1,0,5,0,0.0,35,Everton,Home
Pablo,Fornals Malla,469,283,0.9099999999999999,0.34,5.32,12,10.719999999999999,12,10.719999999999999,1,0,0,6,0,1.5,45,Crystal Palace,Away
Pablo,Fornals Malla,469,283,0.9099999999999999,0.34,5.32,12,10.719999999999999,12,10.719999999999999,1,0,0,6,0,1.5,-220,Man City,Away
Harrison,Reed,211,360,0.26,0.30000000000000004,4.59,18,12.46,7,7.34,1,1,0,5,3,3.6,-265,Man City,Home
Moisés,Caicedo Corozo,120,439,0.18000000000000002,0.6400000000000001,7.26,11,13.39,9,10.969999999999999,0,0,1,9,0,2.2,-50,Man Utd,Home
Moisés,Caicedo Corozo,120,439,0.18000000000000002,0.6400000000000001,7.26,11,13.39,9,10.969999999999999,0,0,1,9,0,2.2,80,Wolves,Home
Ruben,Loftus-Cheek,136,350,0.0,0.36,4.869999999999999,11,11.579999999999998,10,11.02,0,0,1,5,1,0.2,-25,Arsenal,Away
Fábio,Ferreira Vieira,25,331,0.33999999999999997,0.9099999999999999,3.3500000000000005,20,14.4,4,5.1499999999999995,1,1,2,4,2,0.6,25,Chelsea,Home
Hwang,Hee-chan,481,184,1.22,0.08,2.16,17,11.18,9,6.02,2,0,1,2,0,2.2,-80,Brighton,Away
Brenden,Aaronson,246,283,0.48,0.39,6.170000000000001,11,10.38,9,12.23,0,1,0,10,0,2.2,55,Bournemouth,Away
Manor,Solomon,562,350,0.64,0.51,7.919999999999999,14,13.009999999999998,11,4.46,1,0,0,8,0,1.2,-265,Man City,Home
Marcel,Sabitzer,728,404,0.44,0.56,8.12,17,14.34,5,4.57,0,1,4,2,0,2.2,50,Brighton,Away
Mykhailo,Mudryk,699,294,0.8400000000000001,0.24,5.699999999999999,13,10.82,9,7.9399999999999995,0,2,0,6,0,1.8,-25,Arsenal,Away
Danilo,dos Santos de Oliveira,703,402,0.23,0.16,11.190000000000001,16,11.63,6,5.05,1,0,0,9,2,3.5,-15,Brentford,Away
Scott,McTominay,338,340,0.52,0.47,6.35,15,10.67,6,5.91,1,0,2,5,2,2.8,50,Brighton,Away
Alex,Oxlade-Chamberlain,278,277,1.25,0.16999999999999998,4.98,15,16.8,2,2.85,1,0,0,6,2,0.2,120,Fulham,Home
Alex,Oxlade-Chamberlain,278,277,1.25,0.16999999999999998,4.98,15,16.8,2,2.85,1,0,0,6,2,0.2,0,Spurs,Home
Curtis,Jones,291,390,0.1,0.73,6.0,12,10.33,5,4.65,0,1,1,6,0,2.0,0,Spurs,Home
Curtis,Jones,291,390,0.1,0.73,6.0,12,10.33,5,4.65,0,1,1,6,0,2.0,120,Fulham,Home
N'Golo,Kanté,134,365,0.30000000000000004,0.67,2.6900000000000004,11,13.870000000000001,3,3.1500000000000004,0,0,2,3,0,1.2,-25,Arsenal,Away
